Kanji,Kana,English,In Both,In Tanos,In Current,Category
"二日","ふつか","two days, second day of the month",YES,YES,YES,BOTH
"太い","ふとい","fat",YES,YES,YES,BOTH
"冬","ふゆ","winter",YES,YES,YES,BOTH
"降る","ふる","to fall, e.g. rain or snow",YES,YES,YES,BOTH
"古い","ふるい","old (not used for people)",YES,YES,YES,BOTH
"","ふろ","bath",YES,YES,YES,BOTH
"豚肉","ぶたにく","pork",YES,YES,YES,BOTH
"文章","ぶんしょう","sentence,text",YES,YES,YES,BOTH
"下手","へた","unskillful",YES,YES,YES,BOTH
"部屋","へや","room",YES,YES,YES,BOTH
"辺","へん","area",YES,YES,YES,BOTH
"勉強","べんきょうする","to study",YES,YES,YES,BOTH
"便利","べんり","useful, convenient",YES,YES,YES,BOTH
"欲しい","ほしい","want",YES,YES,YES,BOTH
"細い","ほそい","thin",YES,YES,YES,BOTH
"本","ほん","book",YES,YES,YES,BOTH
"本棚","ほんだな","bookshelves",YES,YES,YES,BOTH
"","ほんとう","truth",YES,YES,YES,BOTH
"帽子","ぼうし","hat",YES,YES,YES,BOTH
"毎朝","まいあさ","every morning",YES,YES,YES,BOTH
"毎週","まいしゅう","every week",YES,YES,YES,BOTH
"毎日","まいにち","every day",YES,YES,YES,BOTH
"毎晩","まいばん","every night",YES,YES,YES,BOTH
"前","まえ","before",YES,YES,YES,BOTH
"曲る","まがる","to turn,to bend",YES,YES,YES,BOTH
"","まずい","unpleasant",YES,YES,YES,BOTH
"","また","again,and",YES,YES,YES,BOTH
"","まだ","yet,still",YES,YES,YES,BOTH
"町","まち","town,city",YES,YES,YES,BOTH
"待つ","まつ","to wait",YES,YES,YES,BOTH
"窓","まど","window",YES,YES,YES,BOTH
"丸い/円い","まるい","round,circular",YES,YES,YES,BOTH
"万","まん","ten thousand",YES,YES,YES,BOTH
"万年筆","まんねんひつ","fountain pen",YES,YES,YES,BOTH
"磨く","みがく","to brush teeth, to polish",YES,YES,YES,BOTH
"右","みぎ","right side",YES,YES,YES,BOTH
"短い","みじかい","short",YES,YES,YES,BOTH
"水","みず","water",YES,YES,YES,BOTH
"店","みせ","shop",YES,YES,YES,BOTH
"見せる","みせる","to show",YES,YES,YES,BOTH
"道","みち","street",YES,YES,YES,BOTH
"三日","みっか","three days, third day of the month",YES,YES,YES,BOTH
"三つ","みっつ","three",YES,YES,YES,BOTH
"緑","みどり","green",YES,YES,YES,BOTH
"皆さん","みなさん","everyone",YES,YES,YES,BOTH
"南","みなみ","south",YES,YES,YES,BOTH
"耳","みみ","ear",YES,YES,YES,BOTH
"","みんな","everyone",YES,YES,YES,BOTH
"六日","むいか","six days, sixth day of the month",YES,YES,YES,BOTH
"向こう","むこう","over there",YES,YES,YES,BOTH
"難しい","むずかしい","difficult",YES,YES,YES,BOTH
"六つ","むっつ","six",YES,YES,YES,BOTH
"村","むら","village",YES,YES,YES,BOTH
"目","め","eye",YES,YES,YES,BOTH
"眼鏡","めがね","glasses",YES,YES,YES,BOTH
"","もう","already",YES,YES,YES,BOTH
"もう一度","もういちど","again",YES,YES,YES,BOTH
"木曜日","もくようび","Thursday",YES,YES,YES,BOTH
"","もっと","more",YES,YES,YES,BOTH
"持つ","もつ","to hold",YES,YES,YES,BOTH
"物","もの","thing",YES,YES,YES,BOTH
"門","もん","gate",YES,YES,YES,BOTH
"問題","もんだい","problem",YES,YES,YES,BOTH
"八百屋","やおや","greengrocer",YES,YES,YES,BOTH
"野菜","やさい","vegetable",YES,YES,YES,BOTH
"易しい","やさしい","easy, simple",YES,YES,YES,BOTH
"安い","やすい","cheap",YES,YES,YES,BOTH
"休み","やすみ","rest,holiday",YES,YES,YES,BOTH
