Word	Has_Kanji	In_Current_1147	In_Complete_1426	In_Tanos_658	Category
します	No	NO	YES	NO	Complete
しまります	No	NO	YES	NO	Complete
しまる	No	YES	YES	YES	Current+Complete+Tanos
しめます	No	NO	YES	NO	Complete
しめる	No	YES	YES	YES	Current+Complete+Tanos
しゃしん	No	YES	YES	YES	Current+Complete+Tanos
しゅう	No	NO	YES	NO	Complete
しゅうかん	No	NO	YES	NO	Complete
しゅくだい	No	YES	YES	YES	Current+Complete+Tanos
しょうゆ	No	YES	YES	YES	Current+Complete+Tanos
しょくどう	No	YES	YES	YES	Current+Complete+Tanos
しります	No	NO	YES	NO	Complete
しる	No	YES	YES	YES	Current+Complete+Tanos
しろ	No	YES	YES	YES	Current+Complete+Tanos
しろい	No	YES	YES	YES	Current+Complete+Tanos
しんぶん	No	YES	YES	YES	Current+Complete+Tanos
じ	No	NO	YES	NO	Complete
じかん	No	YES	YES	YES	Current+Complete+Tanos
じしょ	No	YES	YES	YES	Current+Complete+Tanos
じてんしゃ	No	YES	YES	YES	Current+Complete+Tanos
じどうしゃ	No	YES	YES	YES	Current+Complete+Tanos
じびき	No	YES	YES	YES	Current+Complete+Tanos
じぶん	No	YES	YES	YES	Current+Complete+Tanos
じゃ	No	NO	YES	NO	Complete
じゃ/じゃあ	No	YES	YES	NO	Current+Complete
じゃあ	No	NO	YES	NO	Complete
じゅう	No	NO	YES	YES	Complete+Tanos
じゅうとお	No	YES	YES	NO	Current+Complete
じゅぎょう	No	YES	YES	YES	Current+Complete+Tanos
じょうず	No	YES	YES	YES	Current+Complete+Tanos
じょうずに	No	NO	YES	NO	Complete
じょうぶ	No	YES	YES	YES	Current+Complete+Tanos
じん	No	NO	YES	NO	Complete
すい	No	NO	YES	NO	Complete
すいます	No	NO	YES	NO	Complete
すいようび	No	YES	YES	YES	Current+Complete+Tanos
すう	No	YES	YES	YES	Current+Complete+Tanos
すき	No	YES	YES	YES	Current+Complete+Tanos
すぎ	No	NO	YES	NO	Complete
すくない	No	YES	YES	YES	Current+Complete+Tanos
すぐに	No	YES	YES	YES	Current+Complete+Tanos
すこし	No	YES	YES	YES	Current+Complete+Tanos
すし	No	NO	YES	NO	Complete
すしや	No	NO	YES	NO	Complete
すずしい	No	YES	YES	YES	Current+Complete+Tanos
すみます	No	NO	YES	NO	Complete
すみません	No	NO	YES	NO	Complete
すむ	No	YES	YES	YES	Current+Complete+Tanos
する	No	YES	YES	YES	Current+Complete+Tanos
すわります	No	NO	YES	NO	Complete
すわる	No	YES	YES	YES	Current+Complete+Tanos
ずつ	No	NO	YES	NO	Complete
せ	No	YES	YES	YES	Current+Complete+Tanos
せいと	No	YES	YES	YES	Current+Complete+Tanos
せっけん	No	YES	YES	YES	Current+Complete+Tanos
せびろ	No	YES	YES	YES	Current+Complete+Tanos
せまい	No	YES	YES	YES	Current+Complete+Tanos
せん	No	YES	YES	YES	Current+Complete+Tanos
せんげつ	No	YES	YES	YES	Current+Complete+Tanos
せんしゅう	No	YES	YES	YES	Current+Complete+Tanos
せんせい	No	YES	YES	YES	Current+Complete+Tanos
せんたく	No	YES	YES	YES	Current+Complete+Tanos
ぜんぶ	No	YES	YES	YES	Current+Complete+Tanos
そうして/そして	No	YES	YES	NO	Current+Complete
そうしましょう	No	NO	YES	NO	Complete
そうじ	No	NO	YES	NO	Complete
そうじします	No	NO	YES	NO	Complete
そうじする	No	YES	YES	YES	Current+Complete+Tanos
そうです	No	NO	YES	NO	Complete
そうですか	No	NO	YES	NO	Complete
そうですね	No	NO	YES	NO	Complete
そこ	No	YES	YES	YES	Current+Complete+Tanos
そして	No	NO	YES	NO	Complete
そちら	No	YES	YES	YES	Current+Complete+Tanos
そっち	No	YES	YES	YES	Current+Complete+Tanos
そと	No	YES	YES	YES	Current+Complete+Tanos
その	No	YES	YES	YES	Current+Complete+Tanos
そば	No	YES	YES	YES	Current+Complete+Tanos
そら	No	YES	YES	YES	Current+Complete+Tanos
それ	No	YES	YES	YES	Current+Complete+Tanos
それから	No	YES	YES	YES	Current+Complete+Tanos
それでは	No	YES	YES	YES	Current+Complete+Tanos
たいしかん	No	YES	YES	YES	Current+Complete+Tanos
たいせつ	No	YES	YES	YES	Current+Complete+Tanos
たいてい	No	NO	YES	NO	Complete
たいへん	No	YES	YES	YES	Current+Complete+Tanos
たかい	No	YES	YES	YES	Current+Complete+Tanos
たくさん	No	YES	YES	YES	Current+Complete+Tanos
ただいま	No	NO	YES	NO	Complete
ただしい	No	NO	YES	NO	Complete
たち	No	NO	YES	NO	Complete
たちます	No	NO	YES	NO	Complete
たつ	No	YES	YES	YES	Current+Complete+Tanos
たて	No	YES	YES	YES	Current+Complete+Tanos
たてもの	No	YES	YES	YES	Current+Complete+Tanos
たのしい	No	YES	YES	YES	Current+Complete+Tanos
たのみます	No	NO	YES	NO	Complete
たのむ	No	YES	YES	YES	Current+Complete+Tanos
たばこ	No	YES	YES	YES	Current+Complete+Tanos
たぶん	No	YES	YES	YES	Current+Complete+Tanos
たべます	No	NO	YES	NO	Complete
たべもの	No	YES	YES	YES	Current+Complete+Tanos
たべる	No	YES	YES	YES	Current+Complete+Tanos
たまご	No	YES	YES	YES	Current+Complete+Tanos
たんじょうび	No	YES	YES	YES	Current+Complete+Tanos
だい	No	NO	YES	NO	Complete
だいがく	No	YES	YES	YES	Current+Complete+Tanos
だいじょうぶ	No	YES	YES	YES	Current+Complete+Tanos
だいすき	No	YES	YES	YES	Current+Complete+Tanos
だいたい	No	NO	YES	NO	Complete
だいどころ	No	YES	YES	YES	Current+Complete+Tanos
だから	No	NO	YES	NO	Complete
だします	No	NO	YES	NO	Complete
だす	No	YES	YES	YES	Current+Complete+Tanos
だれ	No	YES	YES	YES	Current+Complete+Tanos
だれか	No	NO	NO	YES	Tanos
だんだん	No	YES	YES	YES	Current+Complete+Tanos
ちいさい	No	YES	YES	YES	Current+Complete+Tanos
ちいさな	No	YES	YES	YES	Current+Complete+Tanos
ちかい	No	YES	YES	YES	Current+Complete+Tanos
ちかく	No	YES	YES	YES	Current+Complete+Tanos
ちかてつ	No	YES	YES	YES	Current+Complete+Tanos
ちがいます	No	NO	YES	NO	Complete
ちがう	No	YES	YES	YES	Current+Complete+Tanos
ちず	No	YES	YES	YES	Current+Complete+Tanos
ちち	No	NO	YES	NO	Complete
ちゃいろ	No	YES	YES	YES	Current+Complete+Tanos
ちゃわん	No	YES	YES	YES	Current+Complete+Tanos
ちゅう	No	NO	YES	NO	Complete
ちょうど	No	YES	YES	YES	Current+Complete+Tanos
ちょっと	No	YES	YES	YES	Current+Complete+Tanos
つ	No	NO	YES	NO	Complete
ついたち	No	NO	YES	YES	Complete+Tanos
つかいます	No	NO	YES	NO	Complete
つかう	No	YES	YES	YES	Current+Complete+Tanos
つかれます	No	NO	YES	NO	Complete
つかれる	No	YES	YES	YES	Current+Complete+Tanos
つきます	No	NO	YES	NO	Complete
つぎ	No	YES	YES	YES	Current+Complete+Tanos
つく	No	YES	YES	YES	Current+Complete+Tanos
つくえ	No	YES	YES	YES	Current+Complete+Tanos
つくりかた	No	NO	YES	NO	Complete
つくります	No	NO	YES	NO	Complete
つくる	No	YES	YES	YES	Current+Complete+Tanos
つけます	No	NO	YES	NO	Complete
つける	No	YES	YES	YES	Current+Complete+Tanos
つとめます	No	NO	YES	NO	Complete
つとめる	No	YES	YES	YES	Current+Complete+Tanos
つまらない	No	YES	YES	YES	Current+Complete+Tanos
つめたい	No	YES	YES	YES	Current+Complete+Tanos
つよい	No	YES	YES	YES	Current+Complete+Tanos
て	No	YES	YES	YES	Current+Complete+Tanos
てがみ	No	YES	YES	YES	Current+Complete+Tanos
てんき	No	YES	YES	YES	Current+Complete+Tanos
でかけます	No	NO	YES	NO	Complete
でかける	No	YES	YES	YES	Current+Complete+Tanos
できます	No	NO	YES	NO	Complete
できる	No	YES	YES	YES	Current+Complete+Tanos
でぐち	No	YES	YES	YES	Current+Complete+Tanos
では	No	YES	YES	YES	Current+Complete+Tanos
では、また	No	NO	YES	NO	Complete
でます	No	NO	YES	NO	Complete
でも	No	YES	YES	YES	Current+Complete+Tanos
でる	No	YES	YES	YES	Current+Complete+Tanos
でんき	No	YES	YES	YES	Current+Complete+Tanos
でんしゃ	No	YES	YES	YES	Current+Complete+Tanos
でんわ	No	YES	YES	YES	Current+Complete+Tanos
でんわします	No	NO	YES	NO	Complete
でんわばんごう	No	NO	YES	NO	Complete
と	No	YES	YES	YES	Current+Complete+Tanos
とうきょう	No	NO	YES	NO	Complete
