Kanji,Kana,English,In_Current_1147,In_Complete_1426,In_Tanos_658,Category
"冷たい","つめたい","cold to the touch",YES,YES,YES,ALL
"強い","つよい","powerful",YES,YES,YES,ALL
"手","て","hand",YES,YES,YES,ALL
"(none)","テープ","tape",YES,YES,YES,ALL
"(none)","テーブル","table",YES,YES,YES,ALL
"(none)","テープレコーダー","tape recorder",YES,YES,YES,ALL
"出かける","でかける","to go out",YES,YES,YES,ALL
"手紙","てがみ","letter",YES,YES,YES,ALL
"(none)","できる","to be able to",YES,YES,YES,ALL
"出口","でぐち","exit",YES,YES,YES,ALL
"(none)","テスト","test",YES,YES,YES,ALL
"(none)","では","with that...",YES,YES,YES,ALL
"(none)","デパート","department store",YES,YES,YES,ALL
"(none)","でも","but",YES,YES,YES,ALL
"出る","でる","to appear,to leave",YES,YES,YES,ALL
"(none)","テレビ","television",YES,YES,YES,ALL
"天気","てんき","weather",YES,YES,YES,ALL
"電気","でんき","electricity,electric light",YES,YES,YES,ALL
"電車","でんしゃ","electric train",YES,YES,YES,ALL
"電話","でんわ","telephone",YES,YES,YES,ALL
"戸","と","Japanese style door",YES,YES,YES,ALL
"(none)","ドア","Western style door",YES,YES,YES,ALL
"(none)","トイレ","toilet",YES,YES,YES,ALL
"(none)","どう","how,in what way",YES,YES,YES,ALL
"(none)","どうして","for what reason",YES,YES,YES,ALL
"(none)","どうぞ","please",YES,YES,YES,ALL
"動物","どうぶつ","animal",YES,YES,YES,ALL
"(none)","どうも","thanks",YES,YES,YES,ALL
"遠い","とおい","far",YES,YES,YES,ALL
"十日","とおか","ten days,the tenth day",YES,YES,YES,ALL
"時々","ときどき","sometimes",YES,YES,YES,ALL
"時計","とけい","watch,clock",YES,YES,YES,ALL
"(none)","どこ","where",YES,YES,YES,ALL
"所","ところ","place",YES,YES,YES,ALL
"年","とし","year",YES,YES,YES,ALL
"図書館","としょかん","library",YES,YES,YES,ALL
"(none)","どちら","which of two",YES,YES,YES,ALL
"(none)","どっち","which",YES,YES,YES,ALL
"(none)","とても","very",YES,YES,YES,ALL
"(none)","どなた","who",YES,YES,YES,ALL
"隣","となり","next door to",YES,YES,YES,ALL
"(none)","どの","which",YES,YES,YES,ALL
"飛ぶ","とぶ","to fly,to hop",YES,YES,YES,ALL
"止まる","とまる","to come to a halt",YES,YES,YES,ALL
"友達","ともだち","friend",YES,YES,YES,ALL
"土曜日","どようび","Saturday",YES,YES,YES,ALL
"鳥","とり","bird",YES,YES,YES,ALL
"とり肉","とりにく","chicken meat",YES,YES,YES,ALL
"取る","とる","to take something",YES,YES,YES,ALL
"撮る","とる","to take a photo or record a film",YES,YES,YES,ALL
"(none)","どれ","which (of three or more)",YES,YES,YES,ALL
"(none)","ナイフ","knife",YES,YES,YES,ALL
"中","なか","middle",YES,YES,YES,ALL
"長い","ながい","long",YES,YES,YES,ALL
"鳴く","なく","animal noise. to chirp, roar or croak etc.",YES,YES,YES,ALL
"無くす","なくす","to lose something",YES,YES,YES,ALL
"(none)","なぜ","why",YES,YES,YES,ALL
"夏","なつ","summer",YES,YES,YES,ALL
"夏休み","なつやすみ","summer holiday",YES,YES,YES,ALL
"(none)","など","et cetera",YES,YES,YES,ALL
"七つ","ななつ","seven",YES,YES,YES,ALL
"七日","なのか","seven days,the seventh day",YES,YES,YES,ALL
"名前","なまえ","name",YES,YES,YES,ALL
"習う","ならう","to learn",YES,YES,YES,ALL
"並ぶ","ならぶ","to line up,to stand in a line",YES,YES,YES,ALL
"並べる","ならべる","to line up,to set up",YES,YES,YES,ALL
"(none)","なる","to become",YES,YES,YES,ALL
"二","に","two",YES,YES,YES,ALL
"賑やか","にぎやか","bustling,busy",YES,YES,YES,ALL
"肉","にく","meat",YES,YES,YES,ALL
"西","にし","west",YES,YES,YES,ALL
"日曜日","にちようび","Sunday",YES,YES,YES,ALL
"荷物","にもつ","luggage",YES,YES,YES,ALL
"(none)","ニュース","news",YES,YES,YES,ALL
"庭","にわ","garden",YES,YES,YES,ALL
"脱ぐ","ぬぐ","to take off clothes",YES,YES,YES,ALL
"温い","ぬるい","luke warm",YES,YES,YES,ALL
"(none)","ネクタイ","tie,necktie",YES,YES,YES,ALL
"猫","ねこ","cat",YES,YES,YES,ALL
"寝る","ねる","to go to bed,to sleep",YES,YES,YES,ALL
"(none)","ノート","notebook,exercise book",YES,YES,YES,ALL
"登る","のぼる","to climb",YES,YES,YES,ALL
"飲み物","のみもの","a drink",YES,YES,YES,ALL
"飲む","のむ","to drink",YES,YES,YES,ALL
"乗る","のる","to get on,to ride",YES,YES,YES,ALL
"歯","は","tooth",YES,YES,YES,ALL
"(none)","パーティー","party",YES,YES,YES,ALL
"(none)","はい","yes",YES,YES,YES,ALL
"灰皿","はいざら","ashtray",YES,YES,YES,ALL
"入る","はいる","to enter,to contain",YES,YES,YES,ALL
"葉書","はがき","postcard",YES,YES,YES,ALL
"(none)","はく","to wear,to put on trousers",YES,YES,YES,ALL
"箱","はこ","box",YES,YES,YES,ALL
"橋","はし","bridge",YES,YES,YES,ALL
"(none)","はし","chopsticks",YES,YES,YES,ALL
"始まる","はじまる","to begin",YES,YES,YES,ALL
"初め/始め","はじめ","beginning",YES,YES,YES,ALL
"初めて","はじめて","for the first time",YES,YES,YES,ALL
"走る","はしる","to run",YES,YES,YES,ALL
"(none)","バス","bus",YES,YES,YES,ALL
"(none)","バター","butter",YES,YES,YES,ALL
"二十歳","はたち","20 years old,20th year",YES,YES,YES,ALL
"働く","はたらく","to work",YES,YES,YES,ALL
"八","はち","eight",YES,YES,YES,ALL
"二十日","はつか","twenty days,twentieth",YES,YES,YES,ALL
"花","はな","flower",YES,YES,YES,ALL
"鼻","はな","nose",YES,YES,YES,ALL
"話","はなし","talk,story",YES,YES,YES,ALL
"話す","はなす","to speak",YES,YES,YES,ALL
"早い","はやい","early",YES,YES,YES,ALL
"速い","はやい","quick",YES,YES,YES,ALL
"春","はる","spring",YES,YES,YES,ALL
"貼る","はる","to stick",YES,YES,YES,ALL
"晴れ","はれ","clear weather",YES,YES,YES,ALL
"晴れる","はれる","to be sunny",YES,YES,YES,ALL
"半","はん","half",YES,YES,YES,ALL
"晩","ばん","evening",YES,YES,YES,ALL
"(none)","パン","bread",YES,YES,YES,ALL
"(none)","ハンカチ","handkerchief",YES,YES,YES,ALL
"番号","ばんごう","number",YES,YES,YES,ALL
"晩御飯","ばんごはん","evening meal",YES,YES,YES,ALL
"半分","はんぶん","half minute",YES,YES,YES,ALL
"東","ひがし","east",YES,YES,YES,ALL
"引く","ひく","to pull",YES,YES,YES,ALL
"弾く","ひく","",YES,YES,YES,ALL
"低い","ひくい","short,low",YES,YES,YES,ALL
"飛行機","ひこうき","aeroplane",YES,YES,YES,ALL
"左","ひだり","left hand side",YES,YES,YES,ALL
"人","ひと","person",YES,YES,YES,ALL
"一つ","ひとつ","one",YES,YES,YES,ALL
"一月","ひとつき","one month",YES,YES,YES,ALL
"一人","ひとり","one person",YES,YES,YES,ALL
"暇","ひま","free time",YES,YES,YES,ALL
"百","ひゃく","hundred",YES,YES,YES,ALL
"病院","びょういん","hospital",YES,YES,YES,ALL
"病気","びょうき","illness",YES,YES,YES,ALL
